id,price
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-01,9232.325
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-02,9233.654
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-03,9270.772
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-04,9253.267
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-05,9265.54
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-06,9241.469
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-07,9237.049
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-08,9238.937
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-09,9228.298
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-10,9258.192
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-11,9248.137
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-12,9267.7
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-13,9230.215
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-14,9235.867
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-15,9235.113
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-16,9235.864
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-17,9263.13
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-18,9247.616
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-19,9276.055
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-20,9252.883
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-21,9243.077
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-22,9241.085
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-23,9325.854
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-24,9291.221
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-25,9266.257
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-26,9287.446
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-27,9257.494
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-28,9242.912
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-29,9246.344
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-30,9260.244
Tepung Terigu (Curah)/Sulawesi Selatan/2024-10-31,9285.804
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-01,9243.529
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-02,9260.295
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-03,9242.133
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-04,9226.153
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-05,9234.881
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-06,9239.914
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-07,9261.769
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-08,9249.646
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-09,9271.305
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-10,9232.304
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-11,9231.967
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-12,9229.873
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-13,9220.979
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-14,9251.262
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-15,9253.3545
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-16,9273.648
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-17,9247.582
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-18,9243.83
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-19,9259.406
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-20,9246.156
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-21,9303.722
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-22,9272.357
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-23,9357.59
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-24,9243.142
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-25,9244.844
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-26,9242.947
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-27,9245.607
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-28,9288.878
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-29,9277.438
Tepung Terigu (Curah)/Sulawesi Selatan/2024-11-30,9265.945
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-01,9235.979
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-02,9232.037
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-03,9239.14
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-04,9233.332
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-05,9266.958
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-06,9264.485
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-07,9271.623
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-08,9234.518
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-09,9236.59
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-10,9236.1455
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-11,9223.674
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-12,9253.568
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-13,9236.791
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-14,9263.29
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-15,9229.929
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-16,9246.272
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-17,9241.999
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-18,9231.904
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-19,9299.994
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-20,9253.681
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-21,9318.693
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-22,9240.908
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-23,9245.009
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-24,9241.259
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-25,9268.083
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-26,9304.428
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-27,9265.281
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-28,9262.589
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-29,9243.643
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-30,9699.735
Tepung Terigu (Curah)/Sulawesi Selatan/2024-12-31,9671.018
